Color,Crash,Day,Hour,Minute,Second
0,1.13,30,17,17,47
0,1.2,30,17,17,32
1,57.5,30,17,17,22
0,1.1,30,17,16,2
1,19.2,30,17,15,52
0,1.15,30,17,14,52
0,1.18,30,17,14,42
1,24.2,30,17,14,27
1,2.26,30,17,13,22
0,1.31,30,17,13,2
0,1.0,30,17,12,47
1,2.99,30,17,12,42
0,1.25,30,17,12,7
0,1.33,30,17,11,52
1,3.22,30,17,11,42
0,1.3,30,17,11,12
1,2.34,30,17,10,57
0,1.76,30,17,10,32
1,6.94,30,17,10,12
1,3.19,30,17,9,32
1,3.12,30,17,9,2
0,1.0,30,17,8,32
0,1.05,30,17,8,22
1,2.29,30,17,8,12
0,1.19,30,17,7,47
1,3.58,30,17,7,32
1,5.53,30,17,7,2
0,1.06,30,17,6,22
1,3.74,30,17,6,11
0,1.0,30,17,5,41
0,1.51,30,17,5,31
0,1.24,30,17,5,11
0,1.3,30,17,5,1
1,6.87,30,17,4,46
0,1.0,30,17,4,1
0,1.29,30,17,3,51
1,2.79,30,17,3,41
1,17.1,30,17,3,11
1,3.82,30,17,2,16
0,1.15,30,17,1,41
1,2.66,30,17,1,31
1,2.67,30,17,1,6
1,37.5,30,17,0,36
0,1.19,30,16,59,26
0,1.02,30,16,59,16
0,1.06,30,16,59,6
0,1.46,30,16,58,51
1,194.0,30,16,58,36
0,1.97,30,16,56,56
0,1.0,30,16,56,36
0,1.58,30,16,56,26
1,2.49,30,16,56,16
0,1.51,30,16,55,46
1,43.4,30,16,55,26
1,4.88,30,16,54,11
